# BJD, RAW_FLUX, RAW_FLUX_ERR, CORR_FLUX, CORR_FLUX_ERR, PHASE

2455098.598968 50249.230469 7.713952 1.001369 0.000150 13.120897
2455098.619401 50244.554688 7.713879 1.001272 0.000150 13.122940
2455098.639834 50270.269531 7.714929 1.001781 0.000150 13.124983
2455098.660266 50250.167969 7.714115 1.001377 0.000150 13.127027
2455098.680699 50242.949219 7.714046 1.001230 0.000150 13.129070
2455098.701132 50247.800781 7.713930 1.001323 0.000150 13.131113
2455098.721564 50206.480469 7.712572 1.000496 0.000150 13.133156
2455098.741997 50221.488281 7.712997 1.000792 0.000150 13.135200
2455098.762430 50208.769531 7.712479 1.000535 0.000150 13.137243
2455098.782863 50245.820312 7.718257 1.001269 0.000150 13.139286
2455098.803296 50196.117188 7.711961 1.000275 0.000150 13.141330
2455098.823728 50195.460938 7.712093 1.000259 0.000150 13.143373
2455098.844161 50205.289062 7.712435 1.000451 0.000150 13.145416
2455098.864594 50197.546875 7.712020 1.000293 0.000150 13.147459
2455098.885027 50209.355469 7.712668 1.000525 0.000150 13.149503
2455098.905459 50182.472656 7.711689 0.999986 0.000150 13.151546
2455098.925892 50189.574219 7.711901 1.000124 0.000150 13.153589
2455098.946325 50178.292969 7.711539 0.999895 0.000150 13.155632
2455098.966758 50167.539062 7.711154 0.999677 0.000150 13.157676
2455098.987190 50165.574219 7.711026 0.999635 0.000150 13.159719
2455099.007623 50155.992188 7.710515 0.999440 0.000150 13.161762
2455099.028056 50123.457031 7.709455 0.998788 0.000150 13.163806
2455099.048489 50111.808594 7.708874 0.998552 0.000150 13.165849
2455099.068921 50110.941406 7.708764 0.998531 0.000150 13.167892
2455099.089354 50105.929688 7.708493 0.998428 0.000150 13.169935
2455099.109787 50124.445312 7.709309 0.998793 0.000150 13.171979
2455099.130220 50099.187500 7.708613 0.998286 0.000150 13.174022
2455099.150652 50122.246094 7.709061 0.998742 0.000150 13.176065
2455099.171085 50135.546875 7.709994 0.999003 0.000150 13.178108
2455099.191518 50163.996094 7.710895 0.999566 0.000150 13.180152
2455099.211951 50181.011719 7.711509 0.999902 0.000150 13.182195
2455099.232383 50201.320312 7.712430 1.000302 0.000150 13.184238
2455099.252816 50246.152344 7.714113 1.001192 0.000150 13.186282
2455099.273249 50233.738281 7.713898 1.000941 0.000150 13.188325
2455099.293682 50267.289062 7.715102 1.001606 0.000150 13.190368
2455099.314114 50256.507812 7.714707 1.001387 0.000150 13.192411
2455099.334547 50262.707031 7.714962 1.001507 0.000150 13.194455
2455099.354980 50264.484375 7.714973 1.001538 0.000150 13.196498
2455099.375413 50263.179688 7.715028 1.001508 0.000150 13.198541
2455099.395845 50251.500000 7.714516 1.001272 0.000150 13.200585
2455099.416278 50280.257812 7.715783 1.001841 0.000150 13.202628
2455099.436711 50270.566406 7.715201 1.001644 0.000150 13.204671
2455099.457144 50247.812500 7.714306 1.001186 0.000150 13.206714
2455099.477576 50253.511719 7.714425 1.001296 0.000150 13.208758
2455099.498009 50216.714844 7.713068 1.000559 0.000150 13.210801
2455099.518442 50222.343750 7.713249 1.000667 0.000150 13.212844
2455099.538875 50204.355469 7.712512 1.000305 0.000150 13.214887
2455099.559307 50215.414062 7.712822 1.000521 0.000150 13.216931
2455099.579740 50213.386719 7.712858 1.000477 0.000150 13.218974
2455099.600173 50225.546875 7.713438 1.000715 0.000150 13.221017
2455099.620606 50204.304688 7.712494 1.000288 0.000150 13.223061
2455099.641038 50204.316406 7.712612 1.000284 0.000150 13.225104
2455099.661471 50205.308594 7.712527 1.000300 0.000150 13.227147
2455099.681904 50183.753906 7.711546 0.999866 0.000150 13.229190
2455099.702337 50171.773438 7.711045 0.999623 0.000150 13.231234
2455099.722769 50156.113281 7.710554 0.999307 0.000150 13.233277
2455099.743202 50153.679688 7.710551 0.999255 0.000150 13.235320
2455099.763635 50113.875000 7.709208 0.998457 0.000150 13.237364
2455099.784068 50122.703125 7.709144 0.998629 0.000150 13.239407
2455099.804500 50104.925781 7.708535 0.998271 0.000150 13.241450
2455099.824933 50100.906250 7.709374 0.998187 0.000150 13.243493
2455099.845366 50115.652344 7.709004 0.998476 0.000150 13.245537
2455099.865799 50137.640625 7.709786 0.998910 0.000150 13.247580
2455099.886231 50133.222656 7.709567 0.998818 0.000150 13.249623
2455099.906664 50157.445312 7.710534 0.999296 0.000150 13.251666
2455099.927097 50181.433594 7.711563 0.999770 0.000150 13.253710
2455099.947530 50192.992188 7.712183 0.999996 0.000150 13.255753
2455099.967962 50233.687500 7.713794 1.000802 0.000150 13.257796
2455099.988395 50226.222656 7.713520 1.000649 0.000150 13.259839
2455100.008828 50259.828125 7.715367 1.001314 0.000150 13.261883
2455100.029261 50262.023438 7.714854 1.001354 0.000150 13.263926
2455100.049693 50261.480469 7.714827 1.001339 0.000150 13.265969
2455100.070126 50250.312500 7.716015 1.001112 0.000150 13.268013
2455100.090559 50259.699219 7.714910 1.001294 0.000150 13.270056
2455100.110991 50281.671875 7.716765 1.001728 0.000150 13.272099
2455100.131424 50256.402344 7.714810 1.001220 0.000150 13.274142
2455100.151857 50275.316406 7.715383 1.001592 0.000150 13.276186
2455100.172290 50196.316406 7.712343 1.000014 0.000150 13.278229
2455100.192722 49686.253906 7.691738 0.989848 0.000149 13.280272
2455100.213155 48642.542969 7.648682 0.969051 0.000149 13.282315
2455100.621810 48583.773438 7.647545 0.967790 0.000149 13.323181
2455100.642243 49608.808594 7.689702 0.988204 0.000149 13.325224
2455100.662675 50153.179688 7.710684 0.999044 0.000150 13.327267
2455100.683108 50213.347656 7.712856 1.000237 0.000150 13.329311
2455100.703541 50231.101562 7.713546 1.000586 0.000150 13.331354
2455100.723974 50228.351562 7.713748 1.000526 0.000150 13.333397
2455100.744406 50258.226562 7.716467 1.001117 0.000150 13.335441
2455100.764839 50252.878906 7.714650 1.001005 0.000150 13.337484
2455100.785272 50303.121094 7.716794 1.002001 0.000150 13.339527
2455100.805705 50258.257812 7.715039 1.001103 0.000150 13.341571
2455100.826137 50286.363281 7.716035 1.001658 0.000150 13.343614
2455100.846570 50277.742188 7.715497 1.001481 0.000150 13.345657
2455100.867003 50260.757812 7.715095 1.001138 0.000150 13.347700
2455100.887436 50251.429688 7.714559 1.000947 0.000150 13.349744
2455100.907868 50273.480469 7.715483 1.001381 0.000150 13.351787
2455100.928301 50244.332031 7.714416 1.000795 0.000150 13.353830
2455100.948734 50238.457031 7.714099 1.000673 0.000150 13.355873
2455100.969166 50219.750000 7.713204 1.000296 0.000150 13.357917
2455100.989599 50217.710938 7.713269 1.000250 0.000150 13.359960
2455101.010032 50230.468750 7.713919 1.000499 0.000150 13.362003
2455101.030465 50219.523438 7.713216 1.000276 0.000150 13.364046
2455101.050897 50208.882812 7.712931 1.000059 0.000150 13.366090
2455101.071330 50202.578125 7.712800 0.999928 0.000150 13.368133
2455101.091763 50214.570312 7.713159 1.000162 0.000150 13.370176
2455101.112196 50208.468750 7.712926 1.000035 0.000150 13.372220
2455101.132628 50195.292969 7.712489 0.999768 0.000150 13.374263
2455101.153061 50180.964844 7.711724 0.999477 0.000150 13.376306
2455101.173494 50168.726562 7.711500 0.999228 0.000150 13.378349
2455101.193926 50182.742188 7.712078 0.999502 0.000150 13.380393
2455101.214359 50131.921875 7.710012 0.998485 0.000150 13.382436
2455101.234792 50146.164062 7.710511 0.998763 0.000150 13.384479
2455101.255225 50122.679688 7.709432 0.998290 0.000150 13.386522
2455101.275657 50130.492188 7.710155 0.998441 0.000150 13.388566
